limit;acc_spot;acc_product;acc_me1;acc_me2;acc_me3;acc_limited;old_acc
1;0.03779697624190065;0.02738336713995943;0.028969957081545063;0.025945945945945945;0.02391304347826087;0.026183282980866064;0.0
2;0.08315334773218143;0.07707910750507099;0.0740343347639485;0.07567567567567568;0.07608695652173914;0.045317220543806644;0.05105105105105105
4;0.15334773218142547;0.08519269776876268;0.13304721030042918;0.1308108108108108;0.10869565217391304;0.012084592145015106;0.1021021021021021
8;0.3023758099352052;0.21805273833671399;0.23068669527896996;0.24432432432432433;0.21956521739130436;0.10775427995971802;0.2042042042042042
16;0.2591792656587473;0.30425963488843816;0.2800429184549356;0.2681081081081081;0.32065217391304346;0.2980866062437059;0.4024024024024024
32;0.16414686825053995;0.21703853955375255;0.2532188841201717;0.25513513513513514;0.2510869565217391;0.3011077542799597;0.24024024024024024
64;0.0;0.07099391480730223;0.0;0.0;0.0;0.18731117824773413;0.0
128;0.0;0.0;0.0;0.0;0.0;0.022155085599194362;0.0
129;0.0;0.0;0.0;0.0;0.0;0.0;0.0
